X1,surveyID,P_type,verif_ans,P_sentence,clear_responses,ispo
42,0l8rg1mg20201128,POC,y,The architect showed the model of the building to the architect.,She shows the dress to the customer.,1
43,0l8rg1mg20201128,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives food and medications to the patient.,1
44,0l8rg1mg20201128,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress hands the menu.,1
45,0l8rg1mg20201128,DOI,n,The photographer showed the editor them finished proofs.,He shows the customers the new car.,0
46,0l8rg1mg20201128,POI,n,The researcher gave the detailed results to them experienced surgeon.,He gives tea.,1
47,0l8rg1mg20201128,DOC,y,The happy child showed her father the coloring book.,He shows the object.,0
48,0l8rg1mg20201128,POC,y,The travel agent gave the last ticket to the young fan.,He gives the heart to the girl.,1
49,0l8rg1mg20201128,DOI,n,The secretary handed the manager they invoice.,The librarian hands the book to the boy.,1
50,0l8rg1mg20201128,POC,y,The mother gave the expensive toy to the hungry toddler.,She gives the cane to the chef.,1
51,0l8rg1mg20201128,DOI,n,The captain gave the old sailor they spare life jacket.,She gives the cake to the old lady.,1
52,0l8rg1mg20201128,POI,n,The millionaire gave the valuable painting to they struggling artist.,She gives the flowers to her teacher.,1
53,0l8rg1mg20201128,DOC,y,The bartender handed the customer the cocktail.,He hands the hat to the clown.,1
54,0l8rg1mg20201128,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She hands the labels.,1
55,0l8rg1mg20201128,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse hands the stereoscope to the doctor.,1
56,0l8rg1mg20201128,POI,n,The builder showed the blueprints to they new client.,They show the picture.,1
57,0l8rg1mg20201128,DOC,y,The woman gave the new neighbor the rusty bike.,He gives the present to the girl.,1
58,0l8rg1mg20201128,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She hands the object to the boy.,1
59,0l8rg1mg20201128,DOI,n,The disgruntled employee gave the manager them long letter.,The police officer gives the ticket.,1
60,0l8rg1mg20201128,POI,n,The swimmer handed the towel to they driver.,She hands the paintbrush.,1
61,0uj1405b20200308,DOC,y,The bartender handed the customer the cocktail.,A man hands a clown a hat.,0
62,0uj1405b20200308,POI,n,The swimmer handed the towel to they driver.,A girl hands a man a brush.,0
63,0uj1405b20200308,DOC,y,The fashion designer gave the famous journalist the pink jacket.,A nurse gives a man food.,0
64,0uj1405b20200308,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,A girl hands a man a plate.,0
65,0uj1405b20200308,DOI,n,The disgruntled employee gave the manager them long letter.,The officer gives the boy a ticket.,0
66,0uj1405b20200308,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The girl gave her pupil a letter.,0
67,0uj1405b20200308,DOC,y,The happy child showed her father the coloring book.,The man shows the customer a gun.,0
68,0uj1405b20200308,POC,y,The architect showed the model of the building to the architect.,A woman shows a man a dress.,0
69,0uj1405b20200308,DOI,n,The secretary handed the manager they invoice.,The librarian hands over a book.,NA
70,0uj1405b20200308,POI,n,The millionaire gave the valuable painting to they struggling artist.,The student gives the teacher flowers.,0
71,0uj1405b20200308,DOI,n,The captain gave the old sailor they spare life jacket.,They gave him a cake.,0
72,0uj1405b20200308,POC,y,The travel agent gave the last ticket to the young fan.,A boy gives a girl a card.,0
73,0uj1405b20200308,DOC,y,The teacher handed the student the certificate.,The boy handed the rock star a guitar.,0
74,0uj1405b20200308,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waiter handed the man a menu.,0
75,0uj1405b20200308,DOI,n,The photographer showed the editor them finished proofs.,The salesman shows off the car.,1
76,0uj1405b20200308,POC,y,The mother gave the expensive toy to the hungry toddler.,A waiter gives a chef a cane.,0
77,0uj1405b20200308,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse hands a doctor his stethoscope.,0
78,0uj1405b20200308,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives a soldier tea.,0
79,0uj1405b20200308,DOC,y,The woman gave the new neighbor the rusty bike.,A father gives her daughter a present.,0
80,0uj1405b20200308,POI,n,The builder showed the blueprints to they new client.,The students show their teacher a present.,0
81,156cuu2w20201110,DOI,n,The photographer showed the editor them finished proofs.,The salesman shows the couple their new car.,0
82,156cuu2w20201110,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The girl hands the boy the chalk.,0
83,156cuu2w20201110,DOI,n,The captain gave the old sailor they spare life jacket.,He gives his grandmother a cake.,0
84,156cuu2w20201110,POI,n,The millionaire gave the valuable painting to they struggling artist.,The student gives the teacher flowers.,0
85,156cuu2w20201110,DOI,n,The disgruntled employee gave the manager them long letter.,The cop gives the driver a ticket.,0
86,156cuu2w20201110,POI,n,The builder showed the blueprints to they new client.,The students show their teacher the final project.,0
87,156cuu2w20201110,DOC,y,The happy child showed her father the coloring book.,He showed the man how the gun worked.,0
88,156cuu2w20201110,POC,y,The architect showed the model of the building to the architect.,The boy showed the man his outfit.,0
89,156cuu2w20201110,DOI,n,The secretary handed the manager they invoice.,The librarian hands the boy the book.,0
90,156cuu2w20201110,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The girl hands the guy the plate.,0
91,156cuu2w20201110,DOC,y,The teacher handed the student the certificate.,The boy hands the artist his guitar.,0
92,156cuu2w20201110,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress hands the man the menu.,0
93,156cuu2w20201110,DOC,y,The bartender handed the customer the cocktail.,The man handed the clown his hat.,0
94,156cuu2w20201110,POI,n,The swimmer handed the towel to they driver.,The girl hands the boy the paint brush.,0
95,156cuu2w20201110,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives the patient their medication.,0
96,156cuu2w20201110,POC,y,The mother gave the expensive toy to the hungry toddler.,The maid gives the chef the cane.,0
97,156cuu2w20201110,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse hands over the stethoscope.,NA
98,156cuu2w20201110,POC,y,The travel agent gave the last ticket to the young fan.,The boy gives his heart to the girl.,1
99,156cuu2w20201110,DOC,y,The woman gave the new neighbor the rusty bike.,The man gives the girl her gift.,0
100,156cuu2w20201110,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives the teapot to the solider.,1
101,18hkpswn20201104,DOI,n,The secretary handed the manager they invoice.,NA,NA
102,18hkpswn20201104,POC,y,The good looking bartender handed free drinks to the girls at the bar.,NA,NA
103,18hkpswn20201104,DOI,n,The spy handed the double agent them submarine blueprints.,NA,NA
104,18hkpswn20201104,POC,y,The travel agent gave the last ticket to the young fan.,NA,NA
105,18hkpswn20201104,DOC,y,The bartender handed the customer the cocktail.,The person had the hat,1
106,18hkpswn20201104,POC,y,The mother gave the expensive toy to the hungry toddler.,The lady give a cook cane,1
107,18hkpswn20201104,DOI,n,The captain gave the old sailor they spare life jacket.,They give him a cake,1
108,18hkpswn20201104,POI,n,The millionaire gave the valuable painting to they struggling artist.,The girl give a flower to the teacher,1
109,18hkpswn20201104,DOI,n,The photographer showed the editor them finished proofs.,The dealer show the car,1
110,18hkpswn20201104,POI,n,The swimmer handed the towel to they driver.,The girl hand a paint brush to carpenter,1
111,18hkpswn20201104,DOC,y,The woman gave the new neighbor the rusty bike.,He give her a present,0
112,18hkpswn20201104,POI,n,The researcher gave the detailed results to them experienced surgeon.,He give a solider a tea  pot.,0
113,18hkpswn20201104,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse is giving him a food,0
114,18hkpswn20201104,POI,n,The builder showed the blueprints to they new client.,They show the picture to the teacher,1
115,18hkpswn20201104,DOI,n,The disgruntled employee gave the manager them long letter.,GIVE,NA
116,18hkpswn20201104,POC,y,The mean neighbor handed a nasty note to the woman next door.,She hand the menu to the customer.,1
117,18hkpswn20201104,DOC,y,The happy child showed her father the coloring book.,He is showing something,1
118,18hkpswn20201104,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She hand him a plate,0
119,18hkpswn20201104,DOC,y,The teacher handed the student the certificate.,He hand a guitar,0
120,18hkpswn20201104,POC,y,The architect showed the model of the building to the architect.,She show him a dress,0
121,1az8fajr20200228,DOC,y,The bartender handed the customer the cocktail.,the man handed the clown his hat,0
122,1az8fajr20200228,POC,y,The mean neighbor handed a nasty note to the woman next door.,the waitress handed the customer the menu,0
123,1az8fajr20200228,DOI,n,The secretary handed the manager they invoice.,the librarian handed the kid a book,0
124,1az8fajr20200228,POI,n,The researcher gave the detailed results to them experienced surgeon.,the sailor gave the soldier a teapot,0
125,1az8fajr20200228,DOC,y,The teacher handed the student the certificate.,the person handed the musician his guitar,0
126,1az8fajr20200228,POI,n,The builder showed the blueprints to they new client.,the kids showed their mom their painting,0
127,1az8fajr20200228,DOC,y,The happy child showed her father the coloring book.,the man is showing the cashier a gun,0
128,1az8fajr20200228,POI,n,The swimmer handed the towel to they driver.,the lady is handing the man a paintbrush,0
129,1az8fajr20200228,DOI,n,The disgruntled employee gave the manager them long letter.,the officer is giving the man a ticket,0
130,1az8fajr20200228,POC,y,The good looking bartender handed free drinks to the girls at the bar.,the girl is giving the man a letter,0
131,1az8fajr20200228,DOI,n,The spy handed the double agent them submarine blueprints.,the nurse handed the doctor a tool,0
132,1az8fajr20200228,POC,y,The travel agent gave the last ticket to the young fan.,the man is giving a gift to her,1
133,1az8fajr20200228,DOI,n,The captain gave the old sailor they spare life jacket.,the son and daughter give the mom cake,0
134,1az8fajr20200228,POC,y,The mother gave the expensive toy to the hungry toddler.,the waitress gives the cane to the chef,1
135,1az8fajr20200228,DOC,y,The fashion designer gave the famous journalist the pink jacket.,the nurse gave the patient some food,0
136,1az8fajr20200228,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,the girlfriend handed the man his frisbee,0
137,1az8fajr20200228,DOI,n,The photographer showed the editor them finished proofs.,the salesman is showing the couple a car,0
138,1az8fajr20200228,POC,y,The architect showed the model of the building to the architect.,the woman is showing the man a shirt,0
139,1az8fajr20200228,DOC,y,The woman gave the new neighbor the rusty bike.,the man is giving a gift,1
140,1az8fajr20200228,POI,n,The millionaire gave the valuable painting to they struggling artist.,the girl is giving flowers to the woman,1
141,1nl62prr20201102,DOC,y,The teacher handed the student the certificate.,The boy hands the man the guitar.,0
142,1nl62prr20201102,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The girl hands the boy the chalk.,0
143,1nl62prr20201102,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse hands the doctor a stethoscope.,0
144,1nl62prr20201102,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives the man a teapot.,0
145,1nl62prr20201102,DOI,n,The secretary handed the manager they invoice.,The woman hands the boy a book.,0
146,1nl62prr20201102,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress hands the couple a menu.,0
147,1nl62prr20201102,DOC,y,The happy child showed her father the coloring book.,The man shows the boy the gun.,0
148,1nl62prr20201102,POI,n,The swimmer handed the towel to they driver.,The girl hands the boy the brush.,0
149,1nl62prr20201102,DOI,n,The photographer showed the editor them finished proofs.,The man shows the couple the car.,0
150,1nl62prr20201102,POC,y,The architect showed the model of the building to the architect.,The boy shows the man the shirt.,0
151,1nl62prr20201102,DOI,n,The disgruntled employee gave the manager them long letter.,The officer gives the man a ticket.,0
152,1nl62prr20201102,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The woman hands the man a plate.,0
153,1nl62prr20201102,DOI,n,The captain gave the old sailor they spare life jacket.,The parents give the child a cake.,0
154,1nl62prr20201102,POI,n,The builder showed the blueprints to they new client.,The kids show a picture of a house.,1
155,1nl62prr20201102,DOC,y,The woman gave the new neighbor the rusty bike.,The man gives a gift.,1
156,1nl62prr20201102,POI,n,The millionaire gave the valuable painting to they struggling artist.,The girl gives flowers.,1
157,1nl62prr20201102,DOC,y,The bartender handed the customer the cocktail.,The man hands the clown a hat.,0
158,1nl62prr20201102,POC,y,The travel agent gave the last ticket to the young fan.,The man gives the woman his heart.,0
159,1nl62prr20201102,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives the man food.,0
160,1nl62prr20201102,POC,y,The mother gave the expensive toy to the hungry toddler.,The woman gives the man the cane.,0
161,1xfwyety20200129,DOC,y,The teacher handed the student the certificate.,He hands the guitar to the singer,1
162,1xfwyety20200129,POC,y,The mean neighbor handed a nasty note to the woman next door.,She hands him a menu,0
163,1xfwyety20200129,DOI,n,The disgruntled employee gave the manager them long letter.,The officer gives the man a ticket,0
164,1xfwyety20200129,POI,n,The swimmer handed the towel to they driver.,She hands him the brush,0
165,1xfwyety20200129,DOC,y,The bartender handed the customer the cocktail.,He hands the clown a hat,0
166,1xfwyety20200129,POC,y,The travel agent gave the last ticket to the young fan.,He gives her his heart,0
167,1xfwyety20200129,DOC,y,The happy child showed her father the coloring book.,He shows the gun to the judge,1
168,1xfwyety20200129,POC,y,The mother gave the expensive toy to the hungry toddler.,She gives him her cane,0
169,1xfwyety20200129,DOI,n,The spy handed the double agent them submarine blueprints.,She hands the stethoscope to the doctor,1
170,1xfwyety20200129,POC,y,The architect showed the model of the building to the architect.,She shows him a dress,0
171,1xfwyety20200129,DOI,n,The captain gave the old sailor they spare life jacket.,She gives him a cake,0
172,1xfwyety20200129,POI,n,The millionaire gave the valuable painting to they struggling artist.,She gives her flowers,0
173,1xfwyety20200129,DOC,y,The woman gave the new neighbor the rusty bike.,He gives her a toy,0
174,1xfwyety20200129,POI,n,The researcher gave the detailed results to them experienced surgeon.,He gives him a teapot,0
175,1xfwyety20200129,DOI,n,The photographer showed the editor them finished proofs.,He shows his car,0
176,1xfwyety20200129,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She hands him the chalk,0
177,1xfwyety20200129,DOI,n,The secretary handed the manager they invoice.,She hands him a book,0
178,1xfwyety20200129,POI,n,The builder showed the blueprints to they new client.,They show the teacher a painting,0
179,1xfwyety20200129,DOC,y,The fashion designer gave the famous journalist the pink jacket.,She gives him water,0
180,1xfwyety20200129,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She hands him the frisbee,0
181,2g561hrg20200114,DOC,y,The fashion designer gave the famous journalist the pink jacket.,She gave him medicine.,0
182,2g561hrg20200114,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gave a teapot to the soldier.,1
183,2g561hrg20200114,DOC,y,The teacher handed the student the certificate.,She handed the guitar to him.,1
184,2g561hrg20200114,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gave the cane to the chef.,1
185,2g561hrg20200114,DOI,n,The disgruntled employee gave the manager them long letter.,The cop gave him a ticket.,0
186,2g561hrg20200114,POC,y,The travel agent gave the last ticket to the young fan.,He gave her a heart.,0
187,2g561hrg20200114,DOI,n,The secretary handed the manager they invoice.,She handed him a book.,0
188,2g561hrg20200114,POI,n,The millionaire gave the valuable painting to they struggling artist.,She gave her flowers.,0
189,2g561hrg20200114,DOC,y,The woman gave the new neighbor the rusty bike.,He gave her a gift.,0
190,2g561hrg20200114,POI,n,The builder showed the blueprints to they new client.,They showed her a picture.,0
191,2g561hrg20200114,DOI,n,The photographer showed the editor them finished proofs.,He showed them the car.,0
192,2g561hrg20200114,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She handed it to him.,1
193,2g561hrg20200114,DOC,y,The bartender handed the customer the cocktail.,He handed to hat to the clown.,1
194,2g561hrg20200114,POC,y,The architect showed the model of the building to the architect.,She showed him the dress.,0
195,2g561hrg20200114,DOC,y,The happy child showed her father the coloring book.,He showed her the gun.,0
196,2g561hrg20200114,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She handed it to him.,1
197,2g561hrg20200114,DOI,n,The spy handed the double agent them submarine blueprints.,She handed him the stethoscope.,0
198,2g561hrg20200114,POI,n,The swimmer handed the towel to they driver.,She handed him the brush.,0
199,2g561hrg20200114,DOI,n,The captain gave the old sailor they spare life jacket.,They gave her a cake.,0
200,2g561hrg20200114,POC,y,The mean neighbor handed a nasty note to the woman next door.,She handed him a menu.,0
201,2njwll2120201105,DOI,n,The secretary handed the manager they invoice.,the librarian handed a book,1
202,2njwll2120201105,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,she handed the plate over,NA
203,2njwll2120201105,DOI,n,The captain gave the old sailor they spare life jacket.,they gave her a cake,0
204,2njwll2120201105,POC,y,The architect showed the model of the building to the architect.,she showed him a dress,0
205,2njwll2120201105,DOC,y,The teacher handed the student the certificate.,he handed the guitar over,NA
206,2njwll2120201105,POC,y,The mean neighbor handed a nasty note to the woman next door.,the waitress handed over the menu,NA
207,2njwll2120201105,DOI,n,The photographer showed the editor them finished proofs.,he is showing off the car,NA
208,2njwll2120201105,POC,y,The travel agent gave the last ticket to the young fan.,he gave her a gift,0
209,2njwll2120201105,DOC,y,The woman gave the new neighbor the rusty bike.,he gave the girl a box,0
210,2njwll2120201105,POC,y,The good looking bartender handed free drinks to the girls at the bar.,she handed him a pen,0
211,2njwll2120201105,DOC,y,The fashion designer gave the famous journalist the pink jacket.,a nurse gives the patient water,0
212,2njwll2120201105,POC,y,The mother gave the expensive toy to the hungry toddler.,the waitress gave the cane to the chef,1
213,2njwll2120201105,DOC,y,The bartender handed the customer the cocktail.,the cowboy handed the clown a hat,0
214,2njwll2120201105,POI,n,The researcher gave the detailed results to them experienced surgeon.,the sailor gave a teapot to the soldier,1
215,2njwll2120201105,DOI,n,The disgruntled employee gave the manager them long letter.,the officer gave a ticket,1
216,2njwll2120201105,POI,n,The millionaire gave the valuable painting to they struggling artist.,she gave her teacher a flower,0
217,2njwll2120201105,DOC,y,The happy child showed her father the coloring book.,the lawyer showed the judge a gun,0
218,2njwll2120201105,POI,n,The builder showed the blueprints to they new client.,the students showed their teacher their art,0
219,2njwll2120201105,DOI,n,The spy handed the double agent them submarine blueprints.,the nurse handed the doctor his stethoscope,0
220,2njwll2120201105,POI,n,The swimmer handed the towel to they driver.,she handed him the paintbrush,0
221,2tobc1y520200127,DOI,n,The disgruntled employee gave the manager them long letter.,The officer is giving a ticket.,1
222,2tobc1y520200127,POC,y,The architect showed the model of the building to the architect.,One person shows a dress to another person.,1
223,2tobc1y520200127,DOC,y,The bartender handed the customer the cocktail.,The man hands a hat to the clown.,1
224,2tobc1y520200127,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She handed him the next letter.,0
225,2tobc1y520200127,DOI,n,The captain gave the old sailor they spare life jacket.,They're giving him a cake.,0
226,2tobc1y520200127,POI,n,The millionaire gave the valuable painting to they struggling artist.,She gave her teacher flowers.,0
227,2tobc1y520200127,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse handed the doctor his stethoscope.,0
228,2tobc1y520200127,POI,n,The builder showed the blueprints to they new client.,They're showing their teacher a picture.,0
229,2tobc1y520200127,DOI,n,The secretary handed the manager they invoice.,She hands the boy a book.,0
230,2tobc1y520200127,POC,y,The travel agent gave the last ticket to the young fan.,She was given a heart.,NA
231,2tobc1y520200127,DOC,y,The woman gave the new neighbor the rusty bike.,The kid was given a gift.,NA
232,2tobc1y520200127,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She handed him a plate.,0
233,2tobc1y520200127,DOC,y,The teacher handed the student the certificate.,The musician was handed a guitar.,NA
234,2tobc1y520200127,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress handed the menu to the customer.,1
235,2tobc1y520200127,DOI,n,The photographer showed the editor them finished proofs.,The salesman showed them a car.,0
236,2tobc1y520200127,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gave the cook a cane.,0
237,2tobc1y520200127,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gave him some medicine.,0
238,2tobc1y520200127,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gave the soldier tea.,0
239,2tobc1y520200127,DOC,y,The happy child showed her father the coloring book.,The lawyer showed the gun to the judge.,1
240,2tobc1y520200127,POI,n,The swimmer handed the towel to they driver.,The kid handed a paintbrush to the painter.,1
241,3eawrh7a20200127,DOI,n,The photographer showed the editor them finished proofs.,The man shows the couple a car.,0
242,3eawrh7a20200127,POI,n,The swimmer handed the towel to they driver.,The woman hands the painter a brush.,0
243,3eawrh7a20200127,DOC,y,The teacher handed the student the certificate.,He hands the singer his guitar.,0
244,3eawrh7a20200127,POI,n,The builder showed the blueprints to they new client.,The students show the teacher their project.,0
245,3eawrh7a20200127,DOI,n,The disgruntled employee gave the manager them long letter.,The police officer gives him a ticket.,0
246,3eawrh7a20200127,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She hands him an object.,0
247,3eawrh7a20200127,DOI,n,The captain gave the old sailor they spare life jacket.,They give her a cake.,0
248,3eawrh7a20200127,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She hands him chalk.,0
249,3eawrh7a20200127,DOI,n,The secretary handed the manager they invoice.,She hands him a book.,0
250,3eawrh7a20200127,POI,n,The millionaire gave the valuable painting to they struggling artist.,She gives her flowers.,0
251,3eawrh7a20200127,DOC,y,The happy child showed her father the coloring book.,He shows him an object.,0
252,3eawrh7a20200127,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives him a teapot.,0
253,3eawrh7a20200127,DOC,y,The woman gave the new neighbor the rusty bike.,He gives her a gift.,0
254,3eawrh7a20200127,POC,y,The mother gave the expensive toy to the hungry toddler.,She gives him a cane.,0
255,3eawrh7a20200127,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives the patient food.,0
256,3eawrh7a20200127,POC,y,The architect showed the model of the building to the architect.,He shows him a dress.,0
257,3eawrh7a20200127,DOI,n,The spy handed the double agent them submarine blueprints.,She hands the doctor his equipment.,0
258,3eawrh7a20200127,POC,y,The travel agent gave the last ticket to the young fan.,He gives her a valentine.,0
259,3eawrh7a20200127,DOC,y,The bartender handed the customer the cocktail.,He hands him a hat.,0
260,3eawrh7a20200127,POC,y,The mean neighbor handed a nasty note to the woman next door.,She hands him a menu.,0
261,3oa8oht020201103,DOI,n,The secretary handed the manager they invoice.,The librarian hands the book to the child.,1
262,3oa8oht020201103,POC,y,The architect showed the model of the building to the architect.,She shows the dress to him.,1
263,3oa8oht020201103,DOI,n,The spy handed the double agent them submarine blueprints.,She grabs with her hand.,NA
264,3oa8oht020201103,POI,n,The builder showed the blueprints to they new client.,They show their drawing off.,1
265,3oa8oht020201103,DOI,n,The photographer showed the editor them finished proofs.,He shows the couple a car.,0
266,3oa8oht020201103,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress hands them a menu.,0
267,3oa8oht020201103,DOI,n,The disgruntled employee gave the manager them long letter.,The officer gives a ticket.,1
268,3oa8oht020201103,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gives the soldier the teapot.,0
269,3oa8oht020201103,DOC,y,The happy child showed her father the coloring book.,He shows the judge evidence.,0
270,3oa8oht020201103,POI,n,The millionaire gave the valuable painting to they struggling artist.,The girl gives flowers to her teacher.,1
271,3oa8oht020201103,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gives the patient food.,0
272,3oa8oht020201103,POC,y,The mother gave the expensive toy to the hungry toddler.,She gives the walking cane to him.,1
273,3oa8oht020201103,DOC,y,The woman gave the new neighbor the rusty bike.,A gift is given.,NA
274,3oa8oht020201103,POC,y,The good looking bartender handed free drinks to the girls at the bar.,She hands him letters.,0
275,3oa8oht020201103,DOC,y,The bartender handed the customer the cocktail.,He hands the clown a hat.,0
276,3oa8oht020201103,POC,y,The travel agent gave the last ticket to the young fan.,He gives a valentine to her.,1
277,3oa8oht020201103,DOC,y,The teacher handed the student the certificate.,He hands him the guitar.,0
278,3oa8oht020201103,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,She hands him the object.,0
